time,epoch,batch,loss,cost
0min27sec,0,2030,0.400,9.962,1.823
0min23sec,0,2040,0.397,9.958,1.822
0min27sec,0,2050,0.396,9.955,1.819
0min26sec,0,2060,0.394,9.951,1.817
0min26sec,0,2070,0.392,9.947,1.815
0min26sec,0,2080,0.390,9.943,1.813
0min26sec,0,2090,0.387,9.940,1.810
0min26sec,0,2100,0.386,9.936,1.809
0min27sec,0,2110,0.385,9.933,1.807
0min27sec,0,2120,0.383,9.929,1.804
0min23sec,0,2130,0.380,9.926,1.803
0min23sec,0,2140,0.378,9.923,1.800
0min26sec,0,2150,0.377,9.919,1.798
0min27sec,0,2160,0.376,9.916,1.796
0min30sec,0,2170,0.374,9.912,1.794
0min28sec,0,2180,0.372,9.909,1.792
0min26sec,0,2190,0.371,9.906,1.790
0min25sec,0,2200,0.368,9.902,1.788
0min25sec,0,2210,0.366,9.899,1.786
0min25sec,0,2220,0.365,9.896,1.784
0min25sec,0,2230,0.363,9.893,1.782
0min29sec,0,2240,0.361,9.889,1.781
0min28sec,0,2250,0.359,9.886,1.779
0min28sec,0,2260,0.357,9.883,1.777
0min27sec,0,2270,0.355,9.880,1.775
0min26sec,0,2280,0.353,9.877,1.773
0min25sec,0,2290,0.350,9.874,1.771
0min24sec,0,2300,0.348,9.871,1.769
0min25sec,0,2310,0.347,9.867,1.767
0min26sec,0,2320,0.345,9.864,1.766
0min25sec,0,2330,0.342,9.861,1.764
0min25sec,0,2340,0.341,9.858,1.762
0min25sec,0,2350,0.339,9.855,1.761
0min25sec,0,2360,0.337,9.852,1.760
0min25sec,0,2370,0.336,9.849,1.758
0min27sec,0,2380,0.334,9.846,1.756
0min26sec,0,2390,0.332,9.843,1.755
0min26sec,0,2400,0.331,9.840,1.753
0min27sec,0,2410,0.330,9.837,1.751
0min29sec,0,2420,0.327,9.835,1.750
0min27sec,0,2430,0.327,9.832,1.749
0min25sec,0,2440,0.326,9.829,1.748
0min25sec,0,2450,0.322,9.826,1.746
0min25sec,0,2460,0.321,9.824,1.745
0min25sec,0,2470,0.321,9.821,1.743
0min25sec,0,2480,0.320,9.818,1.742
0min25sec,0,2490,0.318,9.816,1.740
45min22sec,1,0,-1.400,8.981,1.260
0min21sec,1,10,-2.476,9.143,1.386
0min21sec,1,20,-2.443,9.164,1.421
0min21sec,1,30,-2.496,9.171,1.408
0min21sec,1,40,-2.643,9.191,1.389
0min21sec,1,50,-2.693,9.202,1.411
0min21sec,1,60,-3.009,9.235,1.431
0min21sec,1,70,-3.100,9.243,1.428
0min21sec,1,80,-3.074,9.238,1.418
0min21sec,1,90,-3.100,9.237,1.409
0min21sec,1,100,-3.060,9.232,1.409
0min21sec,1,110,-3.059,9.232,1.416
0min21sec,1,120,-3.054,9.230,1.412
0min21sec,1,130,-3.156,9.236,1.410
0min21sec,1,140,-3.190,9.238,1.408
0min21sec,1,150,-3.160,9.236,1.414
0min21sec,1,160,-3.151,9.236,1.413
0min21sec,1,170,-3.157,9.237,1.402
0min21sec,1,180,-3.198,9.243,1.397
0min21sec,1,190,-3.198,9.243,1.395
0min21sec,1,200,-3.180,9.241,1.395
0min21sec,1,210,-3.172,9.240,1.391
0min21sec,1,220,-3.153,9.238,1.391
0min21sec,1,230,-3.141,9.237,1.393
0min21sec,1,240,-3.160,9.238,1.397
0min21sec,1,250,-3.200,9.242,1.400
0min21sec,1,260,-3.204,9.242,1.402
0min21sec,1,270,-3.207,9.242,1.404
